PO Number,PO Date,PO Year,PO Quarter,PO Month,PO Type,PO Status,Supplier ID,Supplier Name,Supplier Country,Supplier Region,Supplier Tier,Supplier Status,Supplier Risk,Supplier Latitude,Supplier Longitude,Payment Terms,Item Code,Item Description,Category,Sub Category,Unit of Measure,Unit Price,Quantity,Discount Pct,Discount Amount,Tax Pct,Tax Amount,Line Total Gross,Line Net,Line Total Inc Tax,Currency,Budget Unit Price,Budget Total,Savings Amount,Savings Pct,Requested Delivery,Actual Delivery,Days Late,On Time Delivery,Lead Time Days,Department,Cost Centre,Requestor Name,Approver Name,Contract ID,Contract Type,Contract Start,Contract End,Invoice Status,Payment Status,Invoice Match Type,Maverick Spend,Single Source Flag,Preferred Supplier,Local International,Supplier ESG Score
PO-00001,09/05/2024,2024,Q2,May,Standard,Closed,SUP-010,SunRise Manufacturing,South Korea,Asia,1,Preferred,Low,35.9078,127.7669,Net 30,ITEM-24464,Steel Sheet (kg),Raw Materials,Steel Sheet (kg),KG,6.55,41,0,0,5,13.43,268.55,268.55,281.98,GBP,7.1,291.1,22.55,7.7,01/07/2024,28/06/2024,-3,Yes,50,IT,CC-002,Bob Smith,Priya Sharma,CON-5333,Framework,17/09/2023,15/09/2025,Disputed,Paid,3-Way Match,No,No,Yes,International,41.6
PO-00002,11/01/2024,2024,Q1,January,Standard,Open,SUP-012,Cornerstone Services,United Kingdom,Europe,2,Approved,Low,55.3781,-3.436,Net 30,ITEM-76104,ERP License,IT Software,ERP License,EA,34756.85,198,0,0,0,0,6881856.3,6881856.3,6881856.3,USD,42289.46,8373313.08,1491456.78,17.8,09/02/2024,06/02/2024,-3,Yes,26,Procurement,CC-006,Frank Brown,Tom Reynolds,CON-4432,Spot,17/01/2023,14/06/2025,Overdue,Overdue,2-Way Match,No,No,No,Local,67.8
PO-00003,17/02/2024,2024,Q1,February,Standard,Closed,SUP-015,Iron Gate Steel,Poland,Europe,3,Conditional,Medium,51.9194,19.1451,Net 60,ITEM-37716,Tool Set,Maintenance,Tool Set,EA,367.54,197,5,3620.27,0,0,72405.38,68785.11,68785.11,USD,444.36,87538.92,18753.81,21.4,18/03/2024,15/03/2024,-3,Yes,27,Sales,CC-010,Jack Harris,Priya Sharma,NO-CONTRACT,Spot,17/02/2024,18/03/2024,Overdue,Pending,2-Way Match,No,No,No,International,75.7
PO-00004,23/06/2023,2023,Q2,June,Blanket,Closed,SUP-007,Nordic Office Solutions,Sweden,Europe,2,Approved,Low,60.1282,18.6435,Net 30,ITEM-19122,Medical Supplies,HR & Training,Medical Supplies,Box,97.92,36,0,0,0,0,3525.12,3525.12,3525.12,USD,91.82,3305.52,-219.6,-6.6,07/07/2023,13/07/2023,6,No,20,Legal,CC-007,Grace Taylor,Lisa Chen,NO-CONTRACT,Spot,23/06/2023,23/07/2023,Disputed,Paid,2-Way Match,No,No,No,International,89.1
PO-00005,24/01/2022,2022,Q1,January,Emergency,Open,SUP-002,TechPro Components,Germany,Europe,1,Preferred,Low,51.1657,10.4515,Net 45,ITEM-62127,Lubricant (L),Maintenance,Lubricant (L),LTR,33.06,88,0,0,5,145.46,2909.28,2909.28,3054.74,GBP,34.92,3072.96,163.68,5.3,16/03/2022,25/03/2022,9,No,60,Operations,CC-003,Maya Hall,Tom Reynolds,CON-2743,Spot,03/03/2021,31/01/2023,Pending,Overdue,No Match,No,No,Yes,International,41.4
PO-00006,22/12/2024,2024,Q4,December,Contract,Closed,SUP-010,SunRise Manufacturing,South Korea,Asia,1,Preferred,Low,35.9078,127.7669,Net 30,ITEM-34514,Packaging Material,Logistics,Packaging Material,Box,21.56,93,10,200.51,5,90.23,2005.08,1804.57,1894.8,GBP,23.18,2155.74,351.17,16.3,01/02/2025,04/02/2025,3,No,44,Marketing,CC-004,Nathan Young,Sarah Mitchell,CON-9727,Master Supply,18/10/2024,20/02/2027,Paid,Paid,3-Way Match,No,No,Yes,International,41.6
PO-00007,10/03/2023,2023,Q1,March,Contract,Closed,SUP-013,Quantum Electronics,Taiwan,Asia,2,Approved,Medium,23.6978,120.9605,Net 45,ITEM-34497,Maintenance Kit,Facilities,Maintenance Kit,EA,219.7,172,0,0,5,1889.42,37788.4,37788.4,39677.82,GBP,269.55,46362.6,8574.2,18.5,30/03/2023,26/03/2023,-4,Yes,16,Sales,CC-010,Jack Harris,Lisa Chen,NO-CONTRACT,Spot,10/03/2023,09/04/2023,Paid,Pending,No Match,No,No,No,International,41.5
PO-00008,08/11/2023,2023,Q4,November,Standard,Open,SUP-004,FastTrack Logistics,United States,Americas,1,Preferred,Low,37.0902,-95.7129,Net 30,ITEM-54692,Copper Wire (m),Raw Materials,Copper Wire (m),MTR,1.04,34,0,0,20,7.07,35.36,35.36,42.43,GBP,1,34,-1.36,-4,13/12/2023,11/12/2023,-2,Yes,33,Finance,CC-001,Karen Clark,James O'Brien,CON-7735,Long-term,12/10/2023,27/02/2026,Pending,On Hold,No Match,No,No,Yes,International,52.3
PO-00009,12/08/2022,2022,Q3,August,Standard,Closed,SUP-004,FastTrack Logistics,United States,Americas,1,Preferred,Low,37.0902,-95.7129,Net 30,ITEM-21296,Calibration Svc,Maintenance,Calibration Svc,EA,312.15,47,0,0,0,0,14671.05,14671.05,14671.05,GBP,381.18,17915.46,3244.41,18.1,07/10/2022,06/10/2022,-1,Yes,55,Facilities,CC-009,Isla White,Sarah Mitchell,CON-4872,Master Supply,16/01/2022,24/11/2023,Overdue,On Hold,3-Way Match,No,No,Yes,International,52.3
PO-00010,10/03/2024,2024,Q1,March,Standard,Closed,SUP-013,Quantum Electronics,Taiwan,Asia,2,Approved,Medium,23.6978,120.9605,Net 45,ITEM-39694,Event Mgmt,Marketing,Event Mgmt,EA,9037.14,188,15,254847.35,20,288826.99,1698982.32,1444134.97,1732961.96,GBP,7148.39,1343897.32,-100237.65,-7.5,27/03/2024,03/04/2024,7,No,24,Sales,CC-010,Jack Harris,Lisa Chen,NO-CONTRACT,Spot,10/03/2024,09/04/2024,Paid,Paid,3-Way Match,No,No,No,International,41.5
PO-00011,27/04/2022,2022,Q2,April,Contract,Open,SUP-002,TechPro Components,Germany,Europe,1,Preferred,Low,51.1657,10.4515,Net 45,ITEM-67289,A4 Paper (Ream),Office Supplies,A4 Paper (Ream),Box,26.9,173,5,232.69,5,221.05,4653.7,4421.01,4642.06,JPY,28.18,4875.14,454.13,9.3,17/05/2022,16/05/2022,-1,Yes,19,IT,CC-002,Bob Smith,James O'Brien,CON-9565,Spot,15/12/2021,08/01/2023,Pending,Overdue,2-Way Match,No,No,Yes,International,41.4
PO-00012,25/07/2024,2024,Q3,July,Standard,Closed,SUP-013,Quantum Electronics,Taiwan,Asia,2,Approved,Medium,23.6978,120.9605,Net 45,ITEM-76104,ERP License,IT Software,ERP License,EA,25622.85,145,15,557296.99,0,0,3715313.25,3158016.26,3158016.26,EUR,29303.72,4249039.4,1091023.14,25.7,07/08/2024,04/08/2024,-3,Yes,10,Marketing,CC-004,David Lee,Priya Sharma,NO-CONTRACT,Spot,25/07/2024,24/08/2024,Paid,Paid,2-Way Match,No,No,No,International,41.5
PO-00013,19/12/2024,2024,Q4,December,Standard,Closed,SUP-014,Blue Horizon Packaging,Australia,Oceania,2,Approved,Low,-25.2744,133.7751,Net 30,ITEM-62127,Lubricant (L),Maintenance,Lubricant (L),LTR,37.95,27,10,102.47,0,0,1024.65,922.18,922.18,JPY,41.02,1107.54,185.36,16.7,09/02/2025,08/02/2025,-1,Yes,51,Sales,CC-010,Jack Harris,Tom Reynolds,CON-4335,Spot,05/04/2024,14/02/2026,Overdue,Paid,2-Way Match,No,No,No,International,50.9
PO-00014,01/04/2022,2022,Q2,April,Standard,Closed,SUP-013,Quantum Electronics,Taiwan,Asia,2,Approved,Medium,23.6978,120.9605,Net 45,ITEM-61412,Filing Cabinet,Office Supplies,Filing Cabinet,EA,107.47,114,0,0,5,612.58,12251.58,12251.58,12864.16,GBP,123.48,14076.72,1825.14,13,20/05/2022,16/05/2022,-4,Yes,45,Procurement,CC-006,Frank Brown,Lisa Chen,CON-8041,Master Supply,11/03/2022,19/07/2023,Disputed,On Hold,3-Way Match,No,Yes,No,International,41.5
PO-00015,27/05/2023,2023,Q2,May,Emergency,Open,SUP-006,Pacific Rim Supplies,Japan,Asia,1,Preferred,Low,36.2048,138.2529,Net 30,ITEM-21296,Calibration Svc,Maintenance,Calibration Svc,EA,979.07,192,0,0,0,0,187981.44,187981.44,187981.44,AUD,1193.35,229123.2,41141.76,18,22/07/2023,18/07/2023,-4,Yes,52,Operations,CC-003,Clara Davies,Priya Sharma,CON-7745,Master Supply,11/01/2023,20/12/2023,Pending,On Hold,2-Way Match,No,No,Yes,International,77.2
PO-00016,31/07/2024,2024,Q3,July,Standard,Closed,SUP-014,Blue Horizon Packaging,Australia,Oceania,2,Approved,Low,-25.2744,133.7751,Net 30,ITEM-15118,Safety Equipment,Facilities,Safety Equipment,Box,53.55,50,0,0,5,133.88,2677.5,2677.5,2811.38,AUD,65.27,3263.5,586,18,22/08/2024,19/08/2024,-3,Yes,19,Finance,CC-001,Karen Clark,Lisa Chen,NO-CONTRACT,Spot,31/07/2024,30/08/2024,Overdue,Paid,No Match,No,No,No,International,50.9
PO-00017,20/03/2022,2022,Q1,March,Standard,Open,SUP-007,Nordic Office Solutions,Sweden,Europe,2,Approved,Low,60.1282,18.6435,Net 30,ITEM-67907,Warehousing (m²),Logistics,Warehousing (m²),SQM,11.55,131,0,0,20,302.61,1513.05,1513.05,1815.66,GBP,12.29,1609.99,96.94,6,21/04/2022,08/05/2022,17,No,49,Facilities,CC-009,Isla White,Tom Reynolds,CON-2146,Spot,05/05/2021,18/09/2022,Pending,Overdue,2-Way Match,No,No,No,International,89.1
PO-00018,31/10/2023,2023,Q4,October,Standard,Closed,SUP-005,EuroBuild Materials,France,Europe,2,Approved,Low,46.2276,2.2137,Net 45,ITEM-37716,Tool Set,Maintenance,Tool Set,EA,160.57,171,10,2745.75,20,4942.34,27457.47,24711.72,29654.06,GBP,191.41,32731.11,8019.39,24.5,11/12/2023,08/12/2023,-3,Yes,38,Finance,CC-001,Alice Johnson,Priya Sharma,NO-CONTRACT,Spot,31/10/2023,30/11/2023,Pending,Pending,3-Way Match,No,No,No,International,80.5
PO-00019,14/03/2023,2023,Q1,March,Standard,Closed,SUP-013,Quantum Electronics,Taiwan,Asia,2,Approved,Medium,23.6978,120.9605,Net 45,ITEM-67289,A4 Paper (Ream),Office Supplies,A4 Paper (Ream),Box,20.68,170,0,0,5,175.78,3515.6,3515.6,3691.38,AUD,19.29,3279.3,-236.3,-7.2,03/04/2023,03/04/2023,0,Yes,20,Marketing,CC-004,David Lee,Tom Reynolds,NO-CONTRACT,Spot,14/03/2023,13/04/2023,Paid,Overdue,3-Way Match,No,Yes,No,International,41.5
PO-00020,03/02/2023,2023,Q1,February,Blanket,Closed,SUP-007,Nordic Office Solutions,Sweden,Europe,2,Approved,Low,60.1282,18.6435,Net 30,ITEM-32712,Branded Merchandise,Marketing,Branded Merchandise,Box,346.39,168,0,0,0,0,58193.52,58193.52,58193.52,GBP,415.33,69775.44,11581.92,16.6,31/03/2023,31/03/2023,0,Yes,56,Facilities,CC-009,Isla White,Tom Reynolds,CON-2988,Long-term,27/11/2022,23/08/2025,Paid,Pending,2-Way Match,No,No,No,International,89.1
PO-00021,25/06/2024,2024,Q2,June,Emergency,Open,SUP-012,Cornerstone Services,United Kingdom,Europe,2,Approved,Low,55.3781,-3.436,Net 30,ITEM-21296,Calibration Svc,Maintenance,Calibration Svc,EA,864.46,141,0,0,0,0,121888.86,121888.86,121888.86,GBP,1029.61,145175.01,23286.15,16,16/07/2024,12/07/2024,-4,Yes,17,Operations,CC-003,Maya Hall,Lisa Chen,CON-4919,Spot,13/11/2023,29/07/2024,Pending,Pending,2-Way Match,No,No,No,Local,67.8
PO-00022,05/11/2022,2022,Q4,November,Standard,Closed,SUP-012,Cornerstone Services,United Kingdom,Europe,2,Approved,Low,55.3781,-3.436,Net 30,ITEM-64270,Pens & Stationery,Office Supplies,Pens & Stationery,Box,11.93,105,0,0,5,62.63,1252.65,1252.65,1315.28,GBP,13.31,1397.55,144.9,10.4,06/12/2022,04/01/2023,29,No,60,IT,CC-002,Leo Walker,Sarah Mitchell,CON-7232,Long-term,02/11/2022,25/04/2024,Paid,Overdue,3-Way Match,No,No,No,Local,67.8
PO-00023,28/03/2023,2023,Q1,March,Standard,Closed,SUP-005,EuroBuild Materials,France,Europe,2,Approved,Low,46.2276,2.2137,Net 45,ITEM-62311,Training Course,Professional Svcs,Training Course,EA,572.56,87,0,0,5,2490.64,49812.72,49812.72,52303.36,USD,679.38,59106.06,9293.34,15.7,10/04/2023,09/04/2023,-1,Yes,12,Legal,CC-007,Grace Taylor,Lisa Chen,CON-1444,Framework,03/05/2022,11/01/2024,Paid,Paid,3-Way Match,No,No,No,International,80.5
PO-00024,01/11/2023,2023,Q4,November,Standard,Closed,SUP-015,Iron Gate Steel,Poland,Europe,3,Conditional,Medium,51.9194,19.1451,Net 60,ITEM-61428,Audit Service,Professional Svcs,Audit Service,EA,11776.13,108,0,0,0,0,1271822.04,1271822.04,1271822.04,EUR,13285.48,1434831.84,163009.8,11.4,09/11/2023,17/11/2023,8,No,16,Operations,CC-003,Maya Hall,Sarah Mitchell,CON-5051,Master Supply,22/10/2023,15/01/2026,Paid,Pending,2-Way Match,Yes,No,No,International,75.7
